noise,block,voice,levels,words
NV,NV1,Neural2-D,0.6p,16
NV,NV1,Neural2-D,0.7p,16
NV,NV1,Neural2-D,0.8p,16
NV,NV1,Neural2-F,0.6p,16
NV,NV1,Neural2-F,0.7p,16
NV,NV1,Neural2-F,0.8p,16
NV,NV2,Neural2-D,0.6p,16
NV,NV2,Neural2-D,0.7p,16
NV,NV2,Neural2-D,0.8p,16
NV,NV2,Neural2-F,0.6p,16
NV,NV2,Neural2-F,0.7p,16
NV,NV2,Neural2-F,0.8p,16
SiSSN,SSN1,Neural2-D,-5db,16
SiSSN,SSN1,Neural2-D,-6db,16
SiSSN,SSN1,Neural2-D,-7db,16
SiSSN,SSN1,Neural2-F,-5db,16
SiSSN,SSN1,Neural2-F,-6db,16
SiSSN,SSN1,Neural2-F,-7db,16
SiSSN,SSN2,Neural2-D,-5db,16
SiSSN,SSN2,Neural2-D,-6db,16
SiSSN,SSN2,Neural2-D,-7db,16
SiSSN,SSN2,Neural2-F,-5db,16
SiSSN,SSN2,Neural2-F,-6db,16
SiSSN,SSN2,Neural2-F,-7db,16
